Epoch,PolicyUpdates,Time (second),AverageQVals,StdQVals,MaxQVals,MinQVals,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,1249,24.524603605270386,-0.09808003873802167,0.17390344985157435,0.24016471,-1.3861293,0.004264812454211416,0.09456424392443642,-20.4,0.9165151702074871,-18.0,-21.0,928.7,10000,-21.0,0.0,-21.0,-21.0,773.0
2,3749,59.93179774284363,-0.14256246337890624,0.3365673419742233,0.46516547,-1.6814685,0.0006140642166137696,0.06583785400390625,-20.09090909090909,1.443137051455306,-16.0,-21.0,953.0909090909091,20000,-21.0,0.0,-21.0,-21.0,752.2
3,6249,96.63277125358582,-0.16511488037109376,0.39610066870190175,0.92263323,-1.6017457,0.000668149185180664,0.07585316772460937,-20.1,0.8306624207344756,-18.0,-21.0,948.9,30000,-20.9,0.29999999602635696,-20.0,-21.0,817.0
4,8749,133.69609189033508,-0.15893897705078125,0.38581154637517817,1.2838793,-1.4254708,0.0005830012321472168,0.07493970947265625,-20.545454545454547,0.49792962147510206,-20.0,-21.0,883.1818181818181,40000,-20.9,0.29999998609224926,-20.0,-21.0,796.3
5,11249,170.6184663772583,-0.18815645751953125,0.397182459645438,1.522411,-1.4777842,0.000686419677734375,0.08480540161132813,-19.8,0.9797958679130776,-18.0,-21.0,1024.1,50000,-20.4,0.4898979339565388,-20.0,-21.0,853.1
6,13749,210.07538723945618,-0.2318447509765625,0.3690087810184874,1.769097,-1.6423258,0.0005823580741882324,0.07905580444335937,-19.9,1.0440306326219684,-18.0,-21.0,995.2,60000,-18.6,1.3564660528696952,-16.0,-20.0,1430.6
7,16249,251.10162091255188,-0.2052908447265625,0.3900358369452254,1.9243444,-1.4428942,0.000638145637512207,0.0837777587890625,-20.0,0.8944271909999159,-18.0,-21.0,997.7,70000,-16.7,1.6155495129774995,-14.0,-19.0,2087.3
8,18749,291.3584637641907,-0.10134580688476562,0.3930595850533908,2.065302,-1.4791244,0.0006118847370147705,0.08420645751953125,-19.8,0.8717798105869238,-18.0,-21.0,992.9,80000,-18.5,2.1095023109728985,-15.0,-21.0,1778.5
9,21249,332.3961772918701,-0.0593391845703125,0.3953407536840055,2.2331965,-1.4362978,0.0004640150547027588,0.07873399047851562,-19.7,1.1874341444526975,-18.0,-21.0,1040.4,90000,-18.3,2.6476404301589196,-12.0,-21.0,2056.6
10,23749,371.67529368400574,-0.026809231567382814,0.41008822352540036,2.4067054,-1.5051215,0.00048665843009948733,0.08006103515625,-20.272727272727273,0.6165754402285145,-19.0,-21.0,950.5454545454545,100000,-17.8,1.720465064494764,-15.0,-21.0,1941.0
11,26249,412.49476528167725,0.04014858093261719,0.40529664278444716,3.0095751,-1.5220482,0.00048104610443115237,0.07855526733398438,-20.1,0.9433981435324424,-18.0,-21.0,967.0,110000,-17.9,1.513274645458613,-16.0,-20.0,1921.2
12,28749,454.90868520736694,0.1479304443359375,0.4305121348373208,3.5210502,-1.3083593,0.0005147225379943847,0.08149567260742188,-20.4,0.800000035762786,-19.0,-21.0,1012.7,120000,-16.9,2.6248809787470155,-13.0,-21.0,2082.5
