Epoch,PolicyUpdates,Time (second),AverageQVals,StdQVals,MaxQVals,MinQVals,LossQ,TDError,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,EpLen,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen
1,999,2.706299066543579,1.2239775175566192,0.5014645470136829,2.3282056,-0.2492141,0.03346098173368681,0.2210733988382914,23.046511627906977,13.36509401761035,79.0,9.0,23.046511627906977,2000,9.333333333333334,0.6992058836252212,10.0,8.0,9.333333333333334
2,2999,8.22266411781311,3.511456787109375,1.2266786370177094,6.6941714,0.2841605,0.014787039756774902,0.4356142578125,38.93617021276596,78.2544693169988,381.0,8.0,38.93617021276596,4000,272.73333333333335,62.23125136001472,442.0,187.0,272.73333333333335
3,4999,13.696041584014893,6.754046875,2.3246640592311936,12.259054,-1.0224636,0.01591773319244385,0.5000872192382813,259.25,60.480885410185586,353.0,179.0,259.25,6000,255.76666666666668,59.191600526735776,423.0,172.0,255.76666666666668
4,6999,19.19193983078003,10.4842998046875,3.34295200758252,18.450983,-2.6760352,0.01902452278137207,0.5358796997070312,328.8333333333333,44.65951556756037,398.0,273.0,328.8333333333333,8000,264.3666666666667,59.68276377369489,456.0,178.0,264.3666666666667
5,8999,24.611649751663208,14.17758203125,4.42753149692354,24.186111,-5.051766,0.026238750457763672,0.639958251953125,304.0,83.11266020116481,500.0,238.0,304.0,10000,266.6,52.62230050479233,394.0,186.0,266.6
6,10999,30.105220079421997,17.65671484375,5.573221934785569,29.96551,-6.7655916,0.035023345947265624,0.734794921875,269.0,53.665631459994955,362.0,186.0,269.0,12000,267.23333333333335,68.44690764867809,496.0,175.0,267.23333333333335
7,12999,35.53476881980896,20.88199609375,6.771674691315288,34.954784,-17.774214,0.04459293365478516,0.8199232177734375,283.2857142857143,58.303920093028786,363.0,176.0,283.2857142857143,14000,259.73333333333335,68.304678951494,421.0,170.0,259.73333333333335
8,14999,40.859459400177,23.971900390625,7.9315447640261105,39.746742,-10.967441,0.05304737854003906,0.87823828125,214.2,53.93292455970193,312.0,161.0,214.2,16000,183.53333333333333,27.22956037715874,259.0,145.0,183.53333333333333
9,16999,46.097477436065674,26.767513671875,9.117561608648444,43.279686,-10.319781,0.057850433349609376,0.9015835571289063,170.0,31.086389889526195,247.0,134.0,170.0,18000,139.23333333333332,10.297842724505257,164.0,121.0,139.23333333333332
10,18999,51.318767070770264,29.432435546875,10.622547878804783,46.379192,-12.055693,0.06267977905273438,0.923063232421875,128.0,37.12142238654117,171.0,12.0,128.0,20000,125.13333333333334,6.771181080813499,139.0,112.0,125.13333333333334
11,20999,56.537983417510986,32.278892578125,12.098167474869904,48.383354,-13.138908,0.06407962036132812,0.923261474609375,126.25,9.424038412485382,144.0,111.0,126.25,22000,119.36666666666666,8.316582937589963,142.0,107.0,119.36666666666666
12,22999,61.75478410720825,34.93655859375,13.263558511010535,54.00086,-14.074828,0.06697148132324218,0.92745166015625,106.10526315789474,21.49637673149214,124.0,18.0,106.10526315789474,24000,108.56666666666666,4.737674180505135,120.0,100.0,108.56666666666666
13,24999,66.9608085155487,37.075125,14.204065769173276,57.43274,-14.72147,0.06850404357910156,0.9221387939453125,110.5,4.017323597731316,117.0,104.0,110.5,26000,106.6,4.0381511907137035,114.0,99.0,106.6
14,26999,72.28813600540161,39.05027734375,15.052141147524495,60.514816,-14.980958,0.06398505401611328,0.892437744140625,111.0,5.92546294487706,124.0,101.0,111.0,28000,108.43333333333334,4.038839099640695,120.0,102.0,108.43333333333334
15,28999,77.51305222511292,40.76920703125,16.01531737509438,62.952785,-14.619064,0.06096758270263672,0.8762921752929688,109.44444444444444,7.566169065899028,119.0,85.0,109.44444444444444,30000,110.13333333333334,5.72557581597512,122.0,100.0,110.13333333333334
16,30999,82.73068404197693,42.4776875,17.14680272674763,65.82097,-14.607461,0.0629549789428711,0.8885108642578124,103.85,18.229850954418485,117.0,26.0,103.85,32000,107.83333333333333,5.360866683807992,120.0,100.0,107.83333333333333
17,32999,87.95908284187317,44.47188671875,18.19025752291594,68.13021,-14.405886,0.056103443145751955,0.85869873046875,108.5,5.909032633745278,120.0,99.0,108.5,34000,109.2,7.236020837352097,126.0,99.0,109.2
18,34999,93.18524503707886,45.757859375,19.2940397208568,71.39549,-14.600179,0.051009971618652346,0.83328857421875,109.0,8.06225774829855,131.0,97.0,109.0,36000,109.43333333333334,5.383204244634706,121.0,100.0,109.43333333333334
